2000
1
1	516	1992
1	1608	973
1	262	425
1	1080	1359
2	784	471
2	892	1041
2	817	1918
2	114	1566
2	801	878
2	1720	645
2	1563	576
2	1503	385
2	1997	804
2	222	1697
2	1488	230
2	723	533
2	1590	1350
2	902	832
2	1768	1146
2	400	68
2	1762	1654
2	1911	573
2	1660	1366
2	1811	1288
2	712	1973
2	1455	231
2	603	479
2	1086	1306
2	694	950
2	1395	1967
2	1999	463
2	1829	1126
2	1688	631
2	750	1425
2	1959	1007
2	560	1944
2	474	1649
2	118	286
2	375	1253
2	816	1250
2	429	1829
2	1231	437
2	1184	1480
2	1224	652
2	1313	198
2	1998	256
2	1640	661
2	213	97
2	772	1051
2	499	707
2	791	1279
2	1334	1345
2	92	1381
2	1406	649
2	1193	1067
2	407	1220
2	65	1487
2	1277	835
2	1131	675
2	904	206
2	545	1118
2	1055	630
2	1330	420
2	1073	465
2	1420	1910
2	963	450
2	281	471
2	1384	1333
2	1365	1254
2	748	357
2	1853	885
2	1876	1691
2	1751	1031
2	933	1064
2	1891	942
2	1890	1469
2	579	917
2	414	1939
2	956	1193
2	1572	773
2	1218	109
2	286	1289
2	217	523
2	1318	836
2	1083	1474
2	1352	1380
2	858	389
2	76	131
2	182	152
2	1196	282
2	105	1153
2	126	1543
2	679	663
2	119	611
2	1185	1140
2	539	523
2	302	483
2	1571	1780
2	150	1724
3	509	1929
3	1993	1245
3	1594	1299
3	1005	1351
3	888	1999
3	1177	1597
3	1776	1552
3	926	859
3	227	1553
3	1435	161
3	1626	892
3	1689	1215
3	116	917
3	1920	1948
3	1490	302
3	787	357
3	794	592
3	1491	1534
3	289	216
3	433	963
3	1241	1314
3	1470	470
3	36	1301
3	949	1758
3	254	1216
3	543	437
3	347	1225
3	1402	1979
3	404	1259
3	1885	300
3	704	1667
3	476	1680
3	364	1473
3	1368	1620
3	832	880
3	564	945
3	1175	1861
3	1443	92
3	1526	1179
3	1973	923
3	440	1057
3	1901	1593
3	1741	1652
3	24	824
3	1421	1012
3	339	1320
3	614	327
3	1642	1746
3	1289	1109
3	1663	624
3	1440	844
3	1742	309
3	644	146
3	1436	751
4	1444	668
4	594	1639
4	263	1776
4	1743	927
4	1720	471
4	380	823
4	1757	445
4	793	1465
4	1686	781
4	1620	588
4	909	594
4	176	1558
4	189	1862
4	801	418
4	875	158
4	722	934
4	826	69
4	1607	1109
4	367	1558
4	1402	466
4	1858	1799
4	1116	758
4	912	1506
4	72	1182
4	1809	724
4	714	117
4	1278	1924
4	319	877
4	788	83
4	1904	1966
4	1299	1763
4	1005	1126
4	736	955
4	889	1652
4	1286	75
4	1801	1678
4	933	1891
4	1984	366
4	1988	1657
4	142	397
4	165	1270
4	524	1126
4	1888	1983
4	590	968
4	1907	1085
4	950	1704
4	1305	38
4	627	1639
4	1865	1746
4	1271	996
4	443	1913
4	1328	212
4	38	1677
4	978	1533
4	1100	774
4	1252	1421
4	303	1253
4	1874	917
4	1275	1984
4	1219	643
4	1253	1692
4	34	1040
4	402	1748
4	396	689
4	694	144
5	288	1701
5	307	120
5	860	182
5	1082	1125
5	1234	332
5	1025	189
5	1901	393
5	705	841
5	30	1072
5	877	1101
5	1770	611
5	436	45
5	783	185
5	1489	794
5	994	1677
5	1579	979
5	641	1443
5	1964	929
5	1228	378
5	842	417
5	601	761
5	1358	1157
5	785	389
5	1306	1025
5	596	642
5	1449	87
5	584	704
5	1434	1896
5	11	1387
5	42	1629
5	117	1089
5	1144	828
5	1700	1576
5	764	633
5	1194	1630
5	1167	317
5	1404	274
5	435	1864
5	1243	361
5	1506	633
6	1663	1461
6	1969	1369
6	844	624
6	1611	1335
6	330	44
6	1076	1590
6	1239	171
6	710	746
6	1085	1596
6	654	1753
6	1360	1373
6	14	176
6	837	156
6	1623	1646
6	861	664
6	1148	1537
6	570	1184
6	1372	16
6	283	1135
6	592	1119
6	1558	245
6	1415	952
6	1129	1310
6	1302	1321
6	1249	367
6	1507	1661
6	1371	1574
6	1571	1644
6	752	1077
6	220	951
6	802	297
6	1782	922
6	1876	717
6	1461	1645
6	167	537
6	866	1088
6	1244	1143
6	1866	1454
6	1964	909
6	484	1623
6	1908	413
6	1355	1627
6	1273	935
6	1987	995
6	1295	425
6	455	848
6	1774	1765
6	1270	1125
6	124	836
6	1222	1528
6	1425	1739
6	1593	971
6	213	1865
6	1797	687
6	21	765
6	314	1890
6	1771	766
6	1742	135
6	979	1878
6	372	413
6	914	1963
6	344	624
6	334	774
6	1062	1471
6	1730	859
6	1090	1995
6	947	356
6	1433	980
6	189	425
6	449	204
6	1428	1623
6	1220	966
6	1696	1580
6	1930	344
6	1167	393
6	872	1170
6	1918	1307
6	1248	488
7	1704	191
7	1867	284
7	1124	312
7	1757	1886
7	1718	882
7	981	568
7	959	1022
7	1360	1030
7	1991	712
7	124	1605
7	1214	1142
7	446	998
7	915	311
7	86	1471
7	924	122
7	1528	894
7	786	328
7	207	1851
8	912	190
8	1532	60
8	285	1768
8	176	981
8	716	217
8	1439	1149
8	868	575
8	783	1812
8	1740	480
8	881	1825
8	394	1074
8	1856	587
8	1510	96
8	57	1863
8	504	1005
8	332	1278
8	123	254
8	1711	1532
8	1077	1397
8	1265	944
8	1263	1039
8	710	1326
8	252	1510
8	107	1294
8	905	1426
8	179	1281
8	1832	216
8	1878	582
8	1828	629
8	699	1077
8	1042	786
8	1822	1538
8	114	243
8	752	968
8	1610	59
8	98	861
8	273	1934
8	1273	913
8	604	1933
8	877	1049
8	566	553
8	741	957
8	329	1014
8	86	50
8	1425	1705
8	1769	125
8	919	1121
8	1730	350
